"","subject","experiment","time","wheel","wheelabs","wheelpos","absdist","absspeed","posdist","posspeed","bothdist","dirspeed","absspeedf","posspeedf","dirspeedf"
"1890","Sample","Hab",189000,0,0,0,0,0,0,0,0,0,0,0,0
"1892","Sample","Hab",189200,0,0,0,0,0,0,0,0,0,0,0,0
"1894","Sample","Hab",189400,0,0,0,0,0,0,0,0,0,0,0,0
"1896","Sample","Hab",189600,0,0,0,0,0,0,0,0,0,0,0,0
"1898","Sample","Hab",189800,0,0,0,0,0,0,0,0,0,0,0,0
"1900","Sample","Hab",190000,0,0,0,0,0,0,0,0,0,0,0,0
"1902","Sample","Hab",190200,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,0
"1904","Sample","Hab",190400,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,0
"1906","Sample","Hab",190600,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,0
"1908","Sample","Hab",190800,0,0,0,0,0,0,0,0,0,0,0,0
"1910","Sample","Hab",191000,0,0,0,0,0,0,0,0,0,0,0,0
"1912","Sample","Hab",191200,0,0,0,0,0,0,0,0,0,0,0,0
"1914","Sample","Hab",191400,0,0,0,0,0,0,0,0,0,0,0,0
"1916","Sample","Hab",191600,0,0,0,0,0,0,0,0,0,0,0,0
"1918","Sample","Hab",191800,0,0,0,0,0,0,0,0,0,0,0,0
"1920","Sample","Hab",192000,0,0,0,0,0,0,0,0,0,0,0,0
"1922","Sample","Hab",192200,0,0,0,0,0,0,0,0,0,0,0,0
"1924","Sample","Hab",192400,0,0,0,0,0,0,0,0,0,0,0,0
"1926","Sample","Hab",192600,0,0,0,0,0,0,0,0,0,0,0,0
"1928","Sample","Hab",192800,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0,0,0
"1930","Sample","Hab",193000,0,0,0,0,0,0,0,0,0,0,0,0
"1932","Sample","Hab",193200,0,0,0,0,0,0,0,0,0,0,0,0
"1934","Sample","Hab",193400,0,0,0,0,0,0,0,0,0,0,0,0
"1936","Sample","Hab",193600,0,0,0,0,0,0,0,0,0,0,0,0
"1938","Sample","Hab",193800,0,0,0,0,0,0,0,0,0,0,0,0
"1940","Sample","Hab",194000,0,0,0,0,0,0,0,0,0,0,0,0
"1942","Sample","Hab",194200,0,0,0,0,0,0,0,0,0,0,0,0
"1944","Sample","Hab",194400,0,0,0,0,0,0,0,0,0,0,0,0
"1946","Sample","Hab",194600,0,0,0,0,0,0,0,0,0,0,0,0
"1948","Sample","Hab",194800,0,0,0,0,0,0,0,0,0,0,0,0
"1950","Sample","Hab",195000,0,0,0,0,0,0,0,0,0,0,0,0
"1952","Sample","Hab",195200,0,0,0,0,0,0,0,0,0,0,0,0
"1954","Sample","Hab",195400,0,0,0,0,0,0,0,0,0,0,0,0
"1956","Sample","Hab",195600,0,0,0,0,0,0,0,0,0,0,0,0
"1958","Sample","Hab",195800,0,0,0,0,0,0,0,0,0,0,0,0
"1960","Sample","Hab",196000,0,0,0,0,0,0,0,0,0,0,0,0
"1962","Sample","Hab",196200,0,0,0,0,0,0,0,0,0,0,0,0
"1964","Sample","Hab",196400,0,0,0,0,0,0,0,0,0,0,0,0
"1966","Sample","Hab",196600,0,0,0,0,0,0,0,0,0,0,0,0
"1968","Sample","Hab",196800,0,0,0,0,0,0,0,0,0,0,0,0
"1970","Sample","Hab",197000,0,0,0,0,0,0,0,0,0,0,0,0
"1972","Sample","Hab",197200,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,0
"1974","Sample","Hab",197400,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,0
"1976","Sample","Hab",197600,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0.331201171875,0.331201171875
"1978","Sample","Hab",197800,0,0,0,0,0,0,0,0,0,0.331201171875,0,0
"1980","Sample","Hab",198000,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0.331201171875,0.331201171875
